('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '30882')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '31322')
('KORA10', '', '', '46110', '31322')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '44392')
('KORA10', '', '', '46110', '44392')
('KORA10', '', '', '46110', '31772')
('KORA10', '', '', '46110', '31772')
('KORA10', '', '', '46110', '31322')
('KORA10', '', '', '46110', '31322')
('KORA10', '', '', '46110', '44202')
('KORA10', '', '', '46110', '44202')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '39612')
('KORA10', '', '', '46110', '39612')
('KORA10', '', '', '46110', '39612')
('KORA10', '', '', '46110', '39612')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '44392')
('KORA10', '', '', '46110', '44392')
('KORA10', '', '', '46110', '31772')
('KORA10', '', '', '46110', '31772')
('KORA10', '', '', '46110', '31322')
('KORA10', '', '', '46110', '31322')
('KORA10', '', '', '46110', '44202')
('KORA10', '', '', '46110', '44202')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '31772')
('KORA10', '', '', '46110', '31772')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '39612')
('KORA10', '', '', '46110', '39612')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '36592')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '33542')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '42652')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '43092')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '40103')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '39512')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '31062')
('KORA10', '', '', '46110', '31322')
('KORA10', '', '', '46110', '31322')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '36083')
('KORA10', '', '', '46110', '44202')
('KORA10', '', '', '46110', '44202')
('KORA10', '', '', '46110', '44392')
('KORA10', '', '', '46110', '44392')
('KORA10', '', '', '46110', '44392')
('KORA10', '', '', '46110', '44392')
('KORA10', '', '', '46110', '31772')
